ID,map.update,long,lat,reference,doi,event.start,event.end
GTM_72,2010,-119.75,41.75,"Breshears et al., 2005, Shaw et al., 2005, Swaty et al., 2004, Mueller et al., 2005, Allen, 2007, Greenwood and Weisberg, 2008,  Floyd et al., 2009.",,2000,2004
GTM_73,2010,-112.25,36.75,"Negron et al., 2009",,2001,2004
GTM_74,2010,-122.75,61.25,"Hogg et al., 2008",,2002,2004
GTM_74_2,2010,-105.25,51.25,,,,
GTM_75,2010,-82.94232488,34.46491487,"Klos et al, 2009",,1991,2005
GTM_76,2010,-125.0663852,53.62864886,"Kurz et al., 2008",,2000,2006
GTM_77,2010,-107.75,39.25,"Worall et al., 2008",,2005,2006
GTM_78,2010,-118.25,36.75,"van Mantgem et al., 2009",,1955,2007
GTM_81,2010,-122.6247667,38.01333951,"Frankel, 2007",,1998,2008
GTM_82,2010,-136.25,59.75,"Beier et al., 2008, Hennon and Shaw, 1997, Hennon et al., 2005",,1880,2008
GTM_83,2010,-79.75,9.25,"Condit et al., 1995, Leigh et al., 1990",,1982,1985
GTM_84,2010,-40.25,-19.25,"Rolim et al., 2005",,1986,1999
GTM_85,2010,-60.25,2.25,"Williamson et al., 2000, Laurance et al., 2001",,1997,
GTM_86,2010,-84.25,10.25,"Chazdon et al., 2005",,1998,
GTM_87,2010,-71.75,-40.75,"Suarez et al., 2004, Suarez and Kitzberger, 2008, Bran et al., 2001",,1998,1999
GTM_88,2010,-54.95333333,-2.903333333,Nepstad et al. 2007,,2000,2004
GTM_89,2010,-60,-5,Phillips et al. 2009,,2005,
GTM_89_2,2010,-69.02523801,-8.732671015,,,,
GTM_90,2014,30.69996,25.37066,"Mehl, J. WM, et al. ""Die-back of kiaat (Pterocarpus angolensis) in southern Africa: a cause for concern?."" Southern Forests: a Journal of Forest Science 72.3-4 (2010): 121-132.",https://doi.org/10.2989/20702620.2010.547244,1991,2005
GTM_92,2014,29.03792,-24.16538,"Van der Linde, J. A., et al. ""Die-off of giant Euphorbia trees in South Africa: Symptoms and relationships to climate."" South African journal of botany 83 (2012): 172-185.",https://doi.org/10.1016/j.sajb.2012.08.008,1995,2010
GTM_93,2014,-2.22,6.56,"Fauset, Sophie, et al. ""Drought?induced shifts in the floristic and functional composition of tropical forests in Ghana."" Ecology letters 15.10 (2012): 1120-1129.",https://doi.org/10.1111/j.1461-0248.2012.01834.x,1970,ongoing
GTM_95,2014,-15.1,16.23,"Gonzalez, Patrick, Compton J. Tucker, and H. Sy. ""Tree density and species decline in the African Sahel attributable to climate."" Journal of Arid Environments 78 (2012): 55-64.",https://doi.org/10.1016/j.jaridenv.2011.11.001,,
GTM_97,2014,5.960033,35.52362,"Kherchouche, Dalila, et al. ""Impact of droughts on Cedrus atlantica forests dieback in the Aurès (Algeria)."" Journal of Life Sciences 6.11 (2012): 1262.",,1978,1980
GTM_98,2014,107.25,49.03,"Dulamsuren, Choimaa, et al. ""Performance of Siberian elm (Ulmus pumila) on steppe slopes of the northern Mongolian mountain taiga: drought stress and herbivory in mature trees."" Environmental and Experimental Botany 66.1 (2009): 18-24.",https://doi.org/10.1016/j.envexpbot.2008.12.020,,
GTM_99,2014,116,51.41667,"Kharuk, V. I., et al. ""Climate induced birch mortality in Trans-Baikal lake region, Siberia."" Forest Ecology and Management 289 (2013): 385-392.",https://doi.org/10.1016/j.foreco.2012.10.024,2000,2010
GTM_100,2014,87.4,43.71667,"Liu, Hongyan, et al. ""Rapid warming accelerates tree growth decline in semi?arid forests of Inner Asia."" Global change biology 19.8 (2013): 2500-2510.",https://doi.org/10.1111/gcb.12217,1994,ongoing
GTM_101,2014,112.5442,23.15583,"Zhou, Guoyi, et al. ""A climate change?induced threat to the ecological resilience of a subtropical monsoon evergreen broad?leaved forest in Southern China."" Global Change Biology 19.4 (2013): 1197-1210.",https://doi.org/10.1111/gcb.12128,1978,2010
GTM_102,2014,115.8667,-30.75,"Brouwers, Niels, et al. ""Landscape-scale assessment of tree crown dieback following extreme drought and heat in a Mediterranean eucalypt forest ecosystem."" Landscape Ecology 28.1 (2013): 69-80.",https://doi.org/10.1007/s10980-012-9815-3,2010,2011
GTM_103,2014,144.58,-26.355,"Fensham, R. J., R. J. Fairfax, and J. M. Dwyer. ""Potential aboveground biomass in drought?prone forest used for rangeland pastoralism."" Ecological Applications 22.3 (2012): 894-908.",https://doi.org/10.1890/11-1123.1,2003,2007
GTM_104,2014,88.75,54.133,"Kharuk, V. I., et al. ""Siberian pine decline and mortality in southern Siberian mountains."" Forest ecology and management 310 (2013): 312-320.",https://doi.org/10.1016/j.foreco.2013.08.042,2006,2012
GTM_105,2014,148.1521,-35.65572,"Keith, Heather, et al. ""Dynamics of carbon exchange in a Eucalyptus forest in response to interacting disturbance factors."" Agricultural and Forest Meteorology 153 (2012): 67-81.",https://doi.org/10.1016/j.agrformet.2011.07.019,2001,2009
GTM_107,2014,115.7883,-32.28343,"Matusick, George, Katinka X. Ruthrof, and GE St J. Hardy. ""Drought and heat triggers sudden and severe dieback in a dominant Mediterranean-type woodland species."" Open Journal of Forestry 2.4 (2012): 183-186.",https://doi.org/10.4236/ojf.2012.24022,2010,2011
GTM_108,2014,116.5203,-32.03492,"Brouwers, Niels C., et al. ""Climate and landscape drivers of tree decline in a Mediterranean ecoregion."" Ecology and Evolution 3.1 (2013): 67-79.",https://doi.org/10.1002/ece3.437,2002,2008
GTM_110,2014,115.7883,-32.28343,"Matusick, George, et al. ""Sudden forest canopy collapse corresponding with extreme drought and heat in a mediterranean-type eucalypt forest in southwestern Australia."" European Journal of Forest Research 132.3 (2013): 497-510.",https://doi.org/10.1007/s10342-013-0690-5,2010,2011
GTM_112,2014,1.231181,53.52521,"Innes, J. L. ""Observations on the condition of beech (Fagus sylvatica L.) in Britain in 1990."" Forestry: An International Journal of Forest Research 65.1 (1992): 35-60.",https://doi.org/10.1093/forestry/65.1.35,1987,1990
GTM_114,2014,2.657239,51.82587,"Peterken, G. F., and E. P. Mountford. ""Effects of drought on beech in Lady Park Wood, an unmanaged mixed deciduous woodland."" Forestry: An International Journal of Forest Research 69.2 (1996): 125-136.",https://doi.org/10.1093/forestry/69.2.125,1975,1976
GTM_115,2014,4.916667,36.66667,"Linares, Juan Carlos, J. Julio Camarero, and José Antonio Carreira. ""Interacting effects of changes in climate and forest cover on mortality and growth of the southernmost European fir forests."" Global Ecology and Biogeography 18.4 (2009): 485-497.",https://doi.org/10.1111/j.1466-8238.2009.00465.x,1970,ongoing
GTM_117,2014,1.108056,42.37861,"Galiano, L., J. Martínez-Vilalta, and F. Lloret. ""Drought-induced multifactor decline of Scots pine in the Pyrenees and potential vegetation change by the expansion of co-occurring oak species."" Ecosystems 13.7 (2010): 978-991.",https://doi.org/10.1007/s10021-010-9368-8,2005,2005
GTM_118,2014,5.524672,43.26427,"Vennetier, Michel, and Christian Ripert. ""Climate change impact on vegetation: lessons from an exceptionally hot and dry decade in south-eastern France."" (2010): p-225.",,1998,2008
GTM_119,2014,44.16667,63,"Aakala, Tuomas, et al. ""Tree mortality episodes in the intact Picea abies?dominated taiga in the Arkhangelsk region of northern European Russia."" Journal of Vegetation Science 22.2 (2011): 322-333.",https://doi.org/10.1111/j.1654-1103.2010.01253.x,1999,2004
GTM_120,2014,4,39,"Carnicer, Jofre, et al. ""Widespread crown condition decline, food web disruption, and amplified tree mortality with increased climate change-type drought."" Proceedings of the National Academy of Sciences 108.4 (2011): 1474-1478.",https://doi.org/10.1073/pnas.1010070108,1987,2007
GTM_121,2014,5.70E-14,42,"Linares, Juan Carlos, et al. ""Tree growth decline on relict Western-Mediterranean mountain forests: Causes and impacts."" Forest Decline: Causes and Impacts (2011).",,1900,ongoing
GTM_123,2014,20.78309,37.75651,"Sarris, Dimitrios, Dimitrios Christodoulakis, and Christian Körner. ""Impact of recent climatic change on growth of low elevation eastern Mediterranean forest trees."" Climatic Change 106.2 (2011): 203-223.",https://doi.org/10.1007/s10584-010-9901-y,1999,ongoing
GTM_125,2014,12.97505,46.34063,"Marini, Lorenzo, et al. ""Climate affects severity and altitudinal distribution of outbreaks in an eruptive bark beetle."" Climatic Change 115.2 (2012): 327-341.",https://doi.org/10.1007/s10584-012-0463-z,1994,2009
GTM_126,2014,5.258828,44.14194,"Cailleret, Maxime, et al. ""Drought-induced decline and mortality of silver fir differ among three sites in Southern France."" Annals of forest science 71.6 (2014): 643-657.",https://doi.org/10.1007/s13595-013-0265-0,1900,ongoing
GTM_128,2014,1.026708,41.32108,"Vilà-Cabrera, Albert, et al. ""Patterns of forest decline and regeneration across Scots pine populations."" Ecosystems 16.2 (2013): 323-335.",https://doi.org/10.1007/s10021-012-9615-2,,
GTM_129,2014,-76.63651,42.26512,"Fahey, Timothy J. ""Recent changes in an upland forest in south-central New York."" Journal of the Torrey Botanical Society (1998): 51-59.",https://doi.org/10.2307/2997231,1935,1985
GTM_132,2014,-118.554,34.62199,"Minnich, Richard A. ""Southern California conifer forests."" Terrestrial vegetation of California 3 (2007): 502-538.",,1776,ongoing (comprehensive survey of southern California is ongoing)
GTM_134,2014,-86.69545,32.56497,"Klos, Ryan J., et al. ""Drought impact on forest growth and mortality in the southeast USA: an analysis using Forest Health and Monitoring data."" Ecological Applications 19.3 (2009): 699-708.",https://doi.org/10.1890/08-0330.1,1991,2005
GTM_135,2014,-112.0705,35.17933,"Ganey, Joseph L., and Scott C. Vojta. ""Tree mortality in drought-stressed mixed-conifer and ponderosa pine forests, Arizona, USA."" Forest Ecology and Management 261.1 (2011): 162-168.",https://doi.org/10.1016/j.foreco.2010.09.048,1997,2007
GTM_137,2014,-109.4,54.9,"Michaelian, Michael, et al. ""Massive mortality of aspen following severe drought along the southern edge of the Canadian boreal forest."" Global Change Biology 17.6 (2011): 2084-2094.",https://doi.org/10.1111/j.1365-2486.2010.02357.x,2001,2001
GTM_141,2014,-9,53,"Peng, Changhui, et al. ""A drought-induced pervasive increase in tree mortality across Canada's boreal forests."" Nature climate change 1.9 (2011): 467.",https://doi.org/10.1038/NCLIMATE1293,1963,2008
GTM_143,2014,-112.8245,37.64026,"DeRose, R. Justin, and James N. Long. ""Drought-driven disturbance history characterizes a southern Rocky Mountain subalpine forest."" Canadian Journal of Forest Research 42.9 (2012): 1649-1660.",https://doi.org/10.1139/X2012-102,1600,2000
GTM_145,2014,-116.8049,33.80367,"Fellows, Aaron W., and Michael L. Goulden. ""Rapid vegetation redistribution in Southern California during the early 2000s drought."" Journal of Geophysical Research: Biogeosciences 117.G3 (2012).",https://doi.org/10.1029/2012JG002044,2002,2004
GTM_148,2014,-110.9099,46.91683,"Kaiser, Kendra E., Brian L. McGlynn, and Ryan E. Emanuel. ""Ecohydrology of an outbreak: mountain pine beetle impacts trees in drier landscape positions first."" Ecohydrology 6.3 (2013): 444-454.",https://doi.org/10.1002/eco.1286,2010,2010
GTM_150,2014,-119,38,"Millar, Constance I., et al. ""Forest mortality in high-elevation whitebark pine (Pinus albicaulis) forests of eastern California, USA; influence of environmental context, bark beetles, climatic water deficit, and warming."" Canadian Journal of Forest Research 42.4 (2012): 749-765.",https://doi.org/10.1139/X2012-031,2007,2010
GTM_154,2014,-106.3218,35.7679,"Garrity, Steven R., et al. ""Quantifying tree mortality in a mixed species woodland using multitemporal high spatial resolution satellite imagery."" Remote Sensing of Environment 129 (2013): 54-65.",https://doi.org/10.1016/j.rse.2012.10.029,2002,2011
GTM_156,2014,-97.93172,29.90226,"Kukowski, Kelly R., Susanne Schwinning, and Benjamin F. Schwartz. ""Hydraulic responses to extreme drought conditions in three co-dominant tree species in shallow soil over bedrock."" Oecologia 171.4 (2013): 819-830.",https://doi.org/10.1007/s00442-012-2466-x,2009,2009
GTM_158,2014,-109.0452,36.99898,"Williams, A. Park, et al. ""Temperature as a potent driver of regional forest drought stress and tree mortality."" Nature climate change 3.3 (2013): 292.",https://doi.org/10.1038/NCLIMATE1693,1896,2012
GTM_160,2014,-88.61,32,"Worrall, James J., et al. ""Recent declines of Populus tremuloides in North America linked to climate."" Forest Ecology and Management 299 (2013): 35-51.",https://doi.org/10.1016/j.foreco.2012.12.033,2000,2010
GTM_163,2014,-85.5,10.75,"Enquist, Brian J., and Carolyn AF Enquist. ""Long?term change within a Neotropical forest: assessing differential functional and floristic responses to disturbance and drought."" Global Change Biology 17.3 (2011): 1408-1424.",https://doi.org/10.1111/j.1365-2486.2010.02326.x,1976,1996
GTM_164,2014,-62.06631944,0.786769444,"Lewis, Simon L., et al. ""The 2010 amazon drought."" Science 331.6017 (2011): 554-554.",https://doi.org/10.1126/science.1200807,2005,2010
GTM_166,2014,-76,4,"Saatchi, Sassan, et al. ""Persistent effects of a severe drought on Amazonian forest canopy."" Proceedings of the National Academy of Sciences 110.2 (2013): 565-570.",https://doi.org/10.1073/pnas.1204651110,2005,2010
GTM_91,2015,39.513702,13.375508,"Mokria, Mulugeta, et al. ""Tree dieback affects climate change mitigation potential of a dry afromontane forest in northern Ethiopia."" Forest Ecology and Management 344 (2015): 73-83.",https://doi.org/10.1016/j.foreco.2015.02.008,1983,1985
GTM_94,2015,104.875488,27.789276,"Zhang, Li, et al. ""The 2010 spring drought reduced primary productivity in southwestern China."" Environmental Research Letters 7.4 (2012): 045706.",https://doi.org/10.1088/1748-9326/7/4/045706,2009,2010
GTM_96,2015,116.44371,39.922478,"Zhang, Xiongqing, et al. ""Tree mortality in response to climate change induced drought across Beijing, China."" Climatic change 124.1-2 (2014): 179-190.",https://doi.org/10.1007/s10584-014-1089-0,1986,2006
GTM_106,2015,146.51,-32.28,"Semple, Bill, et al. ""A note on tree deaths during the current (2001–?) drought in South-eastern Australia."" Australian Geographer 41.3 (2010): 391-401.",https://doi.org/10.1080/00049182.2010.498042,2001,2010
GTM_109,2015,-106.556396,36.031332,"Vogelmann, James E., Brian Tolk, and Zhiliang Zhu. ""Monitoring forest changes in the southwestern United States using multitemporal Landsat data."" Remote Sensing of Environment 113.8 (2009): 1739-1748.",https://doi.org/10.1016/j.rse.2009.04.014,2000,2006
GTM_111,2015,-119.781189,34.015104,"Baguskas, Sara A., et al. ""Evaluating spatial patterns of drought-induced tree mortality in a coastal California pine forest."" Forest Ecology and Management 315 (2014): 43-53.",https://doi.org/10.1016/j.foreco.2013.12.020,2006,2009
GTM_113,2015,-106.633301,39.863371,"Hart, Sarah J., et al. ""Drought induces spruce beetle (Dendroctonus rufipennis) outbreaks across northwestern Colorado."" Ecology 95.4 (2014): 930-939.",https://doi.org/10.1890/13-0230.1,2005,2010
GTM_116,2015,-112.598877,35.786627,"Kane, Jeffrey M., Thomas E. Kolb, and Joel D. McMillin. ""Stand-scale tree mortality factors differ by site and species following drought in southwestern mixed conifer forests."" Forest ecology and management 330 (2014): 171-182.",https://doi.org/10.1016/j.foreco.2014.06.042,1996,2007
GTM_122,2015,-100.643005,30.564626,"Twidwell, Dirac, et al. ""Drought?induced woody plant mortality in an encroached semi?arid savanna depends on topoedaphic factors and land management."" Applied Vegetation Science 17.1 (2014): 42-52.",https://doi.org/10.1111/avsc.12044,2000,2011
GTM_124,2015,-92.200009,38.74411,"Gu, L., et al. ""Predictors and mechanisms of the drought-influenced mortality of tree species along the isohydric to anisohydic continuum in a decade-long study of a central US temperate forest."" Biogeosciences Discussions 12.2 (2015).",https://doi.org/10.5194/bgd-12-1285-2015,2005,2014
GTM_127,2015,-105.34481,40.221092,"Smith, Jeremy M., et al. ""Permanent forest plots show accelerating tree mortality in subalpine forests of the Colorado Front Range from 1982 to 2013."" Forest Ecology and Management 341 (2015): 8-17.",https://doi.org/10.1016/j.foreco.2014.12.031,2008,2013
GTM_140,2015,107.753906,26.194877,"Zhou, Guoyi, et al. ""Substantial reorganization of China's tropical and subtropical forests: based on the permanent plots."" Global change biology 20.1 (2014): 240-250.",https://doi.org/10.1111/gcb.12385,1978,2012
GTM_142,2015,15.595093,46.206448,"?ater, Matjaž. ""A 20-year overview of Quercus robur L. mortality and crown conditions in Slovenia."" Forests 6.3 (2015): 581-593.",https://doi.org/10.3390/f6030581,2003,2013
GTM_144,2015,-112.038574,35.294952,"Zegler, Thomas J., et al. ""Populus tremuloides mortality near the southwestern edge of its range."" Forest Ecology and Management 282 (2012): 196-207.",https://doi.org/10.1016/j.foreco.2012.07.004,1997,2012
GTM_146,2015,-60.205078,-7.536764,"Brienen, Roel Jacobus Wilhelmus, et al. ""Long-term decline of the Amazon carbon sink."" Nature 519.7543 (2015): 344-348.",https://doi.org/10.1038/nature14283,1983,2011
GTM_147,2015,107.094727,26.94166,"Hong-fu, Xiong., et al. ""Effects of extreme drought on plant species in Karst area of Guizhou Province, Southwest China."" Yingyong Shengtai Xuebao 22.5 (2011).",,2010,2010
GTM_130,2018,10,13.691356,"Aynekulu, E., et al. ""Dieback affects forest structure in a dry Afromontane forest in northern Ethiopia."" Journal of arid environments 75.5 (2011): 499-503.",https://doi.org/10.1016/j.jaridenv.2010.12.013,1986,
GTM_131,2018,100.166667,38.566667,"Liang, Eryuan, et al. ""Global warming-related tree growth decline and mortality on the north-eastern Tibetan plateau."" Climatic Change 134.1-2 (2016): 163-176.",https://doi.org/10.1007/s10584-015-1531-y,1995,2005
GTM_133,2018,115.83847,-31.961775,"Challis, A., et al. ""Plant and environmental factors associated with drought-induced mortality in two facultative phreatophytic trees."" Plant and soil 404.1-2 (2016): 157-172.",https://doi.org/10.1007/s11104-016-2793-5,2010,2014
GTM_136,2018,116.287537,-32.259265,"Andrew, Margaret E., et al. ""Spatial configuration of drought disturbance and forest gap creation across environmental gradients."" PloS one 11.6 (2016): e0157154.",https://doi.org/10.1371/journal.pone.0157154,2010,2011
GTM_138,2018,116.28753,-32.25926,"Matusick, George, et al. ""Eucalyptus forest shows low structural resistance and resilience to climate change?type drought."" Journal of Vegetation Science 27.3 (2016): 493-503.",https://doi.org/10.1111/jvs.12378,2010,2011
GTM_139,2018,13.842773,57.903174,"Drobyshev, Igor, Hans Linderson, and Kerstin Sonesson. ""Temporal mortality pattern of pedunculate oaks in southern Sweden."" Dendrochronologia 24.2 (2007): 97-108.",https://doi.org/10.1016/j.dendro.2006.10.004,1988,1994
GTM_149,2018,16.177368,58.555359,"Andersson, Marie, Per Milberg, and Karl-Olof Bergman. ""Low pre-death growth rates of oak (Quercus robur L.)—Is oak death a long-term process induced by dry years?."" Annals of Forest Science 68.1 (2011): 159-168.",https://doi.org/10.1007/s13595-011-0017-y,1987,2006
GTM_151,2018,7.756348,46.356406,"Rigling, Andreas, et al. ""Driving factors of a vegetation shift from Scots pine to pubescent oak in dry Alpine forests."" Global Change Biology 19.1 (2013): 229-240.",https://doi.org/10.1111/gcb.12038,1996,2011
GTM_152,2018,-2.660751,51.821137,"Cavin, Liam, et al. ""Extreme drought alters competitive dominance within and between tree species in a mixed forest stand."" Functional Ecology 27.6 (2013): 1424-1435.",https://doi.org/10.1111/1365-2435.12126,1977,1992
GTM_153,2018,-1.604004,50.861444,"Martin, Philip A., et al. ""Stand dieback and collapse in a temperate forest and its impact on forest structure and biodiversity."" Forest Ecology and Management 358 (2015): 130-138.",https://doi.org/10.1016/j.foreco.2015.08.033,1984,1988
GTM_155,2018,28.476563,53.852527,"Kharuk, Viacheslav I., et al. ""Climate-induced mortality of spruce stands in Belarus."" Environmental Research Letters 10.12 (2015): 125006.",https://doi.org/10.1088/1748-9326/10/12/125006,1989,2005
GTM_157,2018,-0.65918,38.642618,"de la Serrana, R. García, A. Vilagrosa, and J. A. Alloza. ""Pine mortality in southeast Spain after an extreme dry and warm year: interactions among drought stress, carbohydrates and bark beetle attack."" Trees 29.6 (2015): 1791-1804.",https://doi.org/10.1007/s00468-015-1261-9,2013,2014
GTM_159,2018,-2.131348,40.655639,"Herguido, Estela, et al. ""Contrasting growth and mortality responses to climate warming of two pine species in a continental Mediterranean ecosystem."" Forest Ecology and Management 363 (2016): 149-158.",https://doi.org/10.1016/j.foreco.2015.12.038,2005,2008
GTM_161,2018,2.724609,46.860191,"Haavik, Laurel J., et al. ""Emergent insects, pathogens and drought shape changing patterns in oak decline in North America and Europe."" Forest Ecology and Management 354 (2015): 190-205.",https://doi.org/10.1016/j.foreco.2015.06.019,1990,ongoing
GTM_162,2018,-92.109375,34.560859,"Haavik, Laurel J., et al. ""Emergent insects, pathogens and drought shape changing patterns in oak decline in North America and Europe."" Forest Ecology and Management 354 (2015): 190-205.",https://doi.org/10.1016/j.foreco.2015.06.019,1999,ongoing
GTM_165,2018,-95.977936,35.613767,"Bendixsen, Devin P., Stephen W. Hallgren, and Amy E. Frazier. ""Stress factors associated with forest decline in xeric oak forests of south-central United States."" Forest Ecology and Management 347 (2015): 40-48.",https://doi.org/10.1016/j.foreco.2015.03.015,2008,2008
GTM_167,2018,-93.625488,34.705493,"Billings, S. A., A. S. Boone, and F. M. Stephen. ""Tree-ring ?13C and ?18O, leaf ?13C and wood and leaf N status demonstrate tree growth strategies and predict susceptibility to disturbance."" Tree physiology 36.5 (2016): 576-588.",https://doi.org/10.1093/treephys/tpw010,1998,2001
